Project Name,City,State,Project Preview Description,Project Description,Key Highlight,Focus Areas,Area Type,Population Size,Population Data Year,Gini Coefficient,Partners,Status,Start Year,End Year,Learn More Link,Latitude,Longitude,Map Data Last Updated,Approval Status
BlackRock Foundation,Union County,South Carolina,"The Union County initiative bridges the skills gap and drives socioeconomic change by investing in planning, infrastructure, and partnerships.","The Union County initiative channels philanthropy into bridging the skills gap by strengthening the local pipeline from classrooms to careers. By investing in planning, infrastructure, and partnerships with institutions across county lines, this work aims to drive long-term socioeconomic change rooted in community leadership.","The BlackRock Foundation chose to invest not just in programs, but in the infrastructure and vision of the community itself. By equipping local organizations with the capacity and resources for planning, they catalyzed the conditions for resilience and generational impact far beyond the grant window.","Economic Mobility & Generational Wealthbuilding, Industry, Cradle to Career",Rural,"26,678",2024,0.46,"BlackRock Foundation, Partners for Rural Impact, MycoWorks, Union County Schools, Spartanburg County Foundation, United Way of the Piedmont, Spartanburg Academic Movement",Active,2024,,https://learnwithsam.org/news/empowering-union-county-the-blackrock-foundation-sam-union-community-foundation-provide-rapid-resource-grants,34.6612778,-81.6035062,October 2025,Approved
George Kaiser Family Foundation,Tulsa,Oklahoma,"GKFF takes a neighborhood approach; listening, mapping, and tailoring strategies to build trust, capacity, and reflect Tulsa’s diverse communities.","George Kaiser Family Foundation (GKFF) works neighborhood by neighborhood, listening to residents and mapping assets to meet specific needs. By tailoring strategies to zip codes, GKFF builds trust, strengthens community capacity, and ensures initiatives like cultural hubs and incubators celebrate lived experiences of Tulsa's diverse neighborhoods.","GKFF takes a fundamentally different approach to philanthropy by committing to generations rather than grant cycles. Its investments are designed to address systemic barriers that create durable pathways to upward mobility. By tackling interlocking issues that range from education and workforce to build environment, and paired with a neighborhood-by-neighborhood strategy, GKFF centers their work around the goal of handing over the keys to residents so that communities themselves can lead and sustain lasting change.","Economic Mobility & Generational Wealthbuilding, Housing, Community Leadership, Skills Training, Arts & Culture, Public Space","Urban, Suburban, Rural","1,059,800",2024,0.52,"George Kaiser Family Foundation, Eastside Rise, Northside Neighbors, Growing Together Tulsa",Active,1999,,https://www.gkff.org/pillars/strong-neighborhoods,36.1551375,-95.989501,,Approved
EKY Runway Program,Pikeville,Kentucky,"SOAR’s EKY Runway Program helps Eastern Kentuckians overcome employment barriers, find purpose, and build lasting careers through a whole-human approach.","SOAR’s EKY Runway Program helps Eastern Kentuckians overcome barriers to employment and discover purpose and dignity through meaningful work. By implementing a ""whole human"" approach, the program opens pathways to lasting careers.","In its first year of existence, the EKY Runway has reengaged more than 80 individuals previously outside the workforce and navigated them back into employment. This has generated more than $2.5 million in new wages. The program is proving that with, the right supports, disadvantaged populations can return to work, find purpose through meaningful employment, and escape generational poverty.","Skills Training, Economic Opportunity, Economic Mobility & Generational Wealthbuilding",Rural,"7,366",2024,0.449,"Microsoft TechSpark, EKY Runway Program & SOAR, Volunteers of America Mid-States, Appalachian Regional Healthcare, Pikeville Medical Center, Commonwealth of Kentucky, U.S. Economic Development Administration",Active,2025,,https://ekyrunway.com/,37.479469,-82.519669,,Approved
Annie E. Casey Foundation & South Atlanta ,Atlanta,Georgia,"South Atlanta’s long-term transformation blends community-led investment, generational support, and civic infrastructure to build resilient families.","South Atlanta is transforming through long-term investment and community leadership. For 20+ years a two-generation approach has strengthened children’s development and parents’ economic stability. Civic projects, like Pittsburgh Yards, boost entrepreneurship and community spaces, with residents leading, engaging, and shaping sustainable change.","The Annie E. Casey Foundation advances a two-generation place-based strategy in South Atlanta supporting children’s development and parents’ economic stability while investing in civic infrastructure through Pittsburgh Yards. This 31-acre redevelopment features the Nia Building, maker spaces, community greenspace, and pad-ready sites, all co-designed with residents and in support of the community. The new Container Courtyard of storefronts and studios adds new energy along the Atlanta BeltLine’s Southside Trail and showcases the creativity of local entrepreneurs.","Cradle to Career, Economic Opportunity, Retail, Industry, Public Space, Arts & Culture, Economic Mobility & Generational Wealthbuilding, Community Leadership",Urban,"520,070",2024,0.56,"Annie E. Casey Foundation, Pittsburgh Yards",Active,2006,,https://www.aecf.org/resources/community-driven-development-at-pittsburgh-yards,33.7501275,-84.3885209,,Approved
City of Homes,Springfield,Massachusetts,"City of Homes turns vacant properties into affordable homes, tackling inequities and revitalizing disinvested neighborhoods.","City of Homes is an affordable housing initiative redeveloping vacant and blighted properties into affordable homes. Supported by cross-sector partners, the program’s supporters adjusted the attorney receivership model, enabling nonprofit property acquisitions, addressing inequities in homeownership and stabilizing long-disinvested neighborhoods.","City of Homes introduces a new tool in the affordable housing landscape by blending philanthropy, public investment, local government support, and legal innovation. Not only does the initiative expand access to homeownership for communities of color historically shut out of the market, it also demonstrates how redevelopment of vacant properties can create generational wealth and build long-term neighborhood stability. Recognition through the 2024 Massachusetts Bond Bill and the Gateway Cities Innovator Award underscores City of Homes’ potential as a replicable model.","Economic Mobility & Generational Wealthbuilding, Housing",Urban,"152,600",2025,0.48,"MassMutual Foundation, Way Finders",Active,2022,,https://www.wayfinders.org/about/real-estate-development/city-of-homes/,42.1013104,-72.5892742,,Approved
Union Capital,Springfield,Massachusetts,"Union Capital proves that investing in social capital can transform communities, rewarding civic engagement and connecting residents to vital resources.","Union Capital redefines community building by showing that investing in social capital can be as transformative as investing in physical infrastructure. By providing invitations, incentives, and connections to information, one can overcome barriers to engaging with their community and access critical resources for prosperity. ","Union Capital’s model builds power by valuing and rewarding the everyday ways residents already strengthen their communities. By converting civic participation into tangible recognition and resources, it transforms social connections into a durable form of capital. This approach makes social networks a lever for resilience and mobility, and it stands out as a distinctive strategy in the community development landscape. The program's expansion into Springfield, positions Springfield as a model for how targeted philanthropy can help fuel long-term community resilience and economic mobility.","Economic Mobility & Generational Wealthbuilding, Community Leadership",Urban,"152,600",2025,0.4783,MassMutual Foundation,Active,2023,,https://unioncapital.org/,42.1013104,-72.5892742,,Approved
The Economic Justice Hub,Boston,Massachusetts,"BMC’s Economic Justice Hub boosts Boston families’ financial health through coaching, benefits support, job pathways, and research on benefit cliffs.","The Economic Justice Hub at Boston Medical Center (BMC) strengthens the financial health of families in Boston who are served through its pediatric care system. Building on the success of BMC’s StreetCred program, the Hub provides financial coaching, benefits navigation, and job pathway support. ","The Economic Justice Hub shows how wealth and health are deeply intertwined, with economic inequities at the root of many health disparities. By embedding financial resources, workforce pathways, and policy research into clinical care, Boston Medical Center is addressing the structural drivers of poor health outcomes and advancing a place-based model that connects economic mobility and healthcare. It also advances policy research focused on the cliff effect, which is the sudden loss of public benefits that can occur when household income increases.","Economic Mobility & Generational Wealthbuilding, Economic Opportunity",Urban,"673,458",2024,0.44,"MassMutual Foundation, Boston Medical Center",Active,2023,,https://development.bmc.org/why-give/stories/bmc-receives-3-million-gift-to-create-economic-justice-hub/,42.360081,-71.058884,,Approved
NeighborShare,Springfield,Massachusetts,"NeighborShare connects donors to verified local needs; its Springfield pilot delivers fast, transparent aid for everyday emergencies.","NeighborShare is a direct-giving platform connecting donors to neighbors with identified needs, and validated by trusted nonprofits across the country. This model provides fast, transparent support for those facing emergencies like childcare, medical bills, or car repairs, preventing small setbacks from becoming larger crises. 
","What makes NeighborShare unique is its ability to transform micro-level giving into systemic resilience. By pairing immediacy and transparency with nonprofit validation, it turns one-time acts of generosity into a trusted safety net that strengthens both households and the community as a whole. Building on lessons from Springfield, the MassMutual Foundation supported NeighborShare’s expansion to Boston, embedding the peer-to-peer giving approach more broadly across the state. ","Community Leadership, Care Support Systems",Urban,"152,600",2025,0.4783,"MassMutual Foundation, NeighborShare",Active,2020,,https://nbshare.org/,42.1013104,-72.5892742,,Approved
The Delta Philanthropy Forum,Pine Bluff,Arkansas,The Delta Philanthropy Forum unites cross-sector stakeholders to addresses poverty in the Delta Region through collaboration and community voice.,"The Delta Philanthropy Forum (DPF) unites philanthropies, CDFIs, and investors to address persistent poverty in the Arkansas–Mississippi Delta by pooling resources and elevating community voices.","The Delta Philanthropy Forum has raised awareness of the region’s severe underfunding, built cross-sector coalitions on capacity building, education and economic mobility. Through convenings that amplify emerging leaders and community-driven strategies, DPF is working with the community to shift the Delta to a more coordinated and opportunity-focused region.","Economic Opportunity, Economic Mobility & Generational Wealthbuilding",Rural,,,,"Arkansas Impact Philanthropy, Arkansas Community foundation, Carl B. & Florence E. King Foundation, University of Arkansas, Community Foundation of Northwest Mississippi, Washington County Economic Alliance, Derek Lewis Foundation, Foundation for the Mid South, Mississippi Alliance of Nonprofits and Philanthropy, Walton Family Foundation, Winthrop Rockefeller Foundation, WKKF, WHEF, Clinton School Center of Community Philanthropy, Philanthropy Southeast",Active,2018,,https://www.deltaphilanthropy.org/,34.221588,-92.001999,,Approved
The Delta Philanthropy Forum,Clarksdale,Mississippi,The Delta Philanthropy Forum unites cross-sector stakeholders to addresses poverty in the Delta Region through collaboration and community voice.,"The Delta Philanthropy Forum (DPF) unites philanthropies, CDFIs, and investors to address persistent poverty in the Arkansas–Mississippi Delta by pooling resources and elevating community voices.","The Delta Philanthropy Forum has raised awareness of the region’s severe underfunding, built cross-sector coalitions on capacity building, education and economic mobility. Through convenings that amplify emerging leaders and community-driven strategies, DPF is working with the community to shift the Delta to a more coordinated and opportunity-focused region.","Economic Opportunity, Economic Mobility & Generational Wealthbuilding",Rural,,,,"Arkansas Impact Philanthropy, Arkansas Community foundation, Carl B. & Florence E. King Foundation, University of Arkansas, Community Foundation of Northwest Mississippi, Washington County Economic Alliance, Derek Lewis Foundation, Foundation for the Mid South, Mississippi Alliance of Nonprofits and Philanthropy, Walton Family Foundation, Winthrop Rockefeller Foundation, WKKF, WHEF, Clinton School Center of Community Philanthropy, Philanthropy Southeast",Active,2018,,https://www.deltaphilanthropy.org/,33.973679,-90.768173,,Approved
32805 Initiative,Orlando,Florida,"KPMG is investing $1M over three years in Orlando’s 32805 area code, partnering with local groups to advance community well-being.","KPMG is investing over $1 million over three years in the 32805 neighborhoods, partnering with the AdventHealth for Children Foundation, Lift Orlando, United Against Poverty and other community collaborators to build a comprehensive, place-based approach to community well-being. ","Funding has supported a full-time pediatric mental health counselor at the AdventHealth Early Learning Center and a full-time program manager for Lift Orlando's EmpowerEd Scholars program. The partnership has activated a range of programs, including training at daycare centers, and strengthening learning ecosystems through art and motion therapy workshops for educators delivered in partnership with United Arts of Central Florida. KPMG’s support has extended to Lift Orlando’s EmpowerEd Scholars Program, providing resources such as financial aid nights and dorm showers. Together, these efforts show how corporate partners can weave healthcare, education, and cultural assets into a neighborhood strategy.","Skills Training, Economic Opportunity, Economic Mobility & Generational Wealthbuilding, Cradle to Career, Arts & Culture",Urban,"334,854",2024,0.49,"LIFT Orlando, Advent Health West Lakes Early Learning Center, United Arts of Central Florida, United Against Poverty, AdventHealth Foundation",Active,2024,,,28.5383832,-81.3789269,,Approved
Maryland Philanthropy Network,Baltimore,Maryland,"MPN functions as both a network convener, resource, and a collaborative architect, enabling funders to come together, learn together, and act together.","MPN functions as both a network convener, resource, and a collaborative architect, enabling funders to come together, learn together, and act together.","Instead of acting singularly, philanthropic infrastructure organizations serve as the central convener and coordinator for funders — aligning strategies, pooling resources, and driving a collective shift from giving in the short-term to long-term systemic change and equity. This structure enables funders to co-design with communities, share risk, and adapt together, creating a more powerful and systemic approach to tackling issues alongside grantees and the broader community.","Housing, Arts & Culture, Community Leadership, Economic Opportunity",Urban,"568,271",2024,0.5139,Maryland Philanthropy Network,Active,2019,,https://www.marylandphilanthropy.org/,39.2905023,-76.6104072,,Approved
Play Equity Fund,Los Angeles,California,"Play Equity Fund, a trusted intermediary, strengthens neighborhood organizations so every young person has access to recreation and safe spaces to play.","In Los Angeles, philanthropy is advancing play equity; the idea that every young person, deserves access to sports, recreation, and safe spaces to play. Rather than building new infrastructure, funders channel resources through the Play Equity Fund, a trusted intermediary that strengthens existing neighborhood organizations. This approach reweaves a fragmented system into a cohesive movement, amplifying small, hyper-local groups and ensuring that investments reflect community priorities across one of the nation’s most diverse and sprawling cities.","By partnering with organizations, like the Play Equity Fund, to strengthen sports-based youth development and reimagine the built environment, LA’s play equity movement is making life-changing moments more common, accessible, and equitable across neighborhoods.","Sports, Community Leadership, Care Support Systems, Public Space, Youth Leadership",Urban,"3,879,000",2024,0.5,"LA84 Foundation, The Social Justice Learning Institute, Nike Foundation, Play Equity Fund, Youth N Motion Academy",Active,,,https://www.playequityfund.org/,34.0549076,-118.242643,,Approved
